time,open_time,open,high,low,close,volume,MACD,MACD_signal,MACD_hist,K,D,J,ATR,ATR_200,Trade_Status
1641024000,2022-01-01 08:00:00,46216.93,46949.99,46208.37,46813.2,3495.20465,0.0,0.0,0.0,81.55524392546025,81.55524392546025,81.55524392546025,741.6199999999953,741.6199999999953,
1641038400,2022-01-01 12:00:00,46813.21,47555.55,46591.23,47194.73,3522.79888,30.43544159544399,6.0870883190887985,24.34835327635519,78.77571099704645,80.62873294932231,75.06966709249471,852.9699999999975,852.9699999999975,
1641052800,2022-01-01 16:00:00,47194.73,47344.69,46715.39,46758.87,2729.67811,19.16457171613729,8.702584998498498,10.46198671763879,66.1381861077713,75.79855066880532,46.817456985703274,778.4133333333326,778.4133333333326,
1641067200,2022-01-01 20:00:00,46758.87,47491.14,46756.3,47219.04,3055.90946,46.824436378039536,16.326955274406707,30.49748110363283,69.09917583924309,73.5654257256179,60.166676066493466,767.5199999999986,767.5199999999986,
1641081600,2022-01-02 00:00:00,47219.04,47954.63,47186.07,47329.78,4061.67681,76.79561881825066,28.420687983175497,48.37493083507516,67.47205524990041,71.53430223371207,59.3475612822771,767.7279999999985,767.7279999999985,
1641096000,2022-01-02 04:00:00,47329.79,47814.0,47222.22,47722.65,2739.19534,130.74220769511885,48.88499192556417,81.85721576955467,73.88657328641068,72.31839258461162,77.02293469000881,738.4033333333318,738.4033333333318,
1641110400,2022-01-02 08:00:00,47722.66,47750.0,47269.47,47329.47,2387.90724,140.1533276676564,67.13865907398262,73.01466859367379,70.65773613976063,71.76484043632794,68.443527546626,701.5642857142842,701.5642857142842,
1641124800,2022-01-02 12:00:00,47329.47,47415.73,46770.23,47173.45,3018.46827,133.48348345618433,80.40762395042296,53.07585950576137,65.52700373423517,69.68556153563036,57.209888131444785,694.5562499999987,694.5562499999987,
1641139200,2022-01-02 16:00:00,47173.44,47499.45,46970.05,47235.5,2119.84865,131.68650028816046,90.66339921797046,41.023101070189995,63.290951534878545,67.55402486871309,54.76480486720945,676.2055555555538,676.2055555555538,
1641153600,2022-01-02 20:00:00,47238.89,47447.0,47013.5,47340.47,2780.32874,137.1515818483822,99.96103574405282,37.19054610432937,60.511898353456296,65.20664936362749,51.1223963331139,651.9349999999984,651.9349999999984,
1641168000,2022-01-03 00:00:00,47340.47,47990.0,46654.0,46907.68,5597.88593,105.34580151125556,101.03798889749336,4.307812613762195,46.670606886336145,59.027968537863714,21.955883583281008,714.1227272727258,714.1227272727258,
1641182400,2022-01-03 04:00:00,46907.67,47469.34,46815.17,47286.18,2436.02157,109.41995308175683,102.71438173434606,6.705571347410768,46.88669201604047,54.98087636392263,30.69832332027616,709.1266666666652,709.1266666666652,
1641196800,2022-01-03 08:00:00,47286.18,47289.11,46722.39,46793.26,2994.31942,72.04374758192716,96.58025490386228,-24.53650732193512,34.73234557556396,48.23136610113641,7.734304524419073,698.1723076923064,698.1723076923064,
1641211200,2022-01-03 12:00:00,46793.27,47211.09,46750.0,47051.37,2838.97703,62.52935583611543,89.77007509031293,-27.2407192541975,33.06931820806067,43.17735013677783,12.853254350626344,681.2378571428557,681.2378571428557,
1641225600,2022-01-03 16:00:00,47051.36,47431.67,46778.0,47378.0,4262.39073,80.41842947303667,87.8997459668577,-7.481316493821026,40.110084394196136,42.15492822258393,36.02039673742054,674.955714285713,679.3999999999985,
1641240000,2022-01-03 20:00:00,47378.0,47570.0,46575.25,46693.45,5463.72051,38.90965890966618,78.1017285554194,-39.19206964575322,29.52500059925256,37.94495234814014,12.685097101477396,677.1292857142845,699.1093749999986,
1641254400,2022-01-04 00:00:00,46693.44,46790.0,46263.29,46360.01,5861.46189,-20.654074824131385,58.35056787950924,-79.00464270364063,21.55046834142597,32.480124345902084,-0.30884366752626136,669.8014285714271,688.9682352941163,
1641268800,2022-01-04 04:00:00,46360.01,46576.94,45696.0,46446.1,6241.20752,-60.217865358317795,34.63688123194384,-94.85474659026164,25.266426729215667,30.075558473673276,15.648163240300448,680.2371428571417,699.6333333333322,
1641283200,2022-01-04 08:00:00,46446.1,46549.19,45934.5,46313.97,3604.76267,-101.06917856477958,7.495669272599155,-108.56484783737874,25.823796255978145,28.658304401108232,20.154779965717964,669.2464285714278,695.1626315789464,
1641297600,2022-01-04 12:00:00,46313.96,46600.21,45996.26,46550.0,5734.35172,-113.09480368590448,-16.622425319101573,-96.4723783668029,32.4061878988627,29.907598900359723,37.403365895868646,670.1157142857135,690.601999999999,
1641312000,2022-01-04 16:00:00,46549.99,46772.41,46300.0,46733.77,4686.5322,-106.56804497812846,-34.611549250906954,-71.9564957272215,40.063214557975286,33.292804119564906,53.604035434796046,669.5357142857138,680.211904761904,
1641326400,2022-01-04 20:00:00,46733.78,47557.54,46410.0,46925.35,8065.90334,-84.95730188822927,-44.68069977837142,-40.27660210985785,48.575583095569414,38.38706377823307,68.9526217302421,705.3957142857138,701.4540909090902,
1641340800,2022-01-05 00:00:00,46925.34,46984.99,45500.0,46052.36,9855.45649,-136.69786155411566,-63.08413213352027,-73.61372942059539,41.27840805405111,39.350845203505756,45.133533755141826,773.6521428571426,735.5208695652166,
1641355200,2022-01-05 04:00:00,46052.35,46428.27,45760.05,45832.01,3544.40718,-193.2553044655142,-89.11836659991906,-104.13693786559514,32.86531551429498,37.18900197376883,24.217942595347267,790.4178571428565,732.7166666666657,
1641369600,2022-01-05 08:00:00,45832.01,46549.0,45722.21,46422.55,3034.64069,-188.25574772127584,-108.94584282419041,-79.30990489708543,36.856051816986174,37.078018588174615,36.4121182746093,754.0457142857138,736.4795999999991,
1641384000,2022-01-05 12:00:00,46422.56,46527.39,46246.01,46407.51,2185.03432,-183.39312351743138,-123.8352989628386,-59.55782455459277,39.27288602101597,37.8096410657884,42.19937593147111,727.4178571428565,718.9757692307683,
1641398400,2022-01-05 16:00:00,46407.5,47070.0,46110.0,46270.99,5623.80527,-188.3839094145078,-136.74502105317245,-51.63888836133535,38.672406175556276,38.09722943571102,39.822759655246784,755.509285714285,727.9025925925916,
1641412800,2022-01-05 20:00:00,46271.0,46822.17,45803.67,46622.53,6056.26257,-162.10416720378998,-141.81685028329596,-20.28731692049402,43.96723679813563,40.05389855651923,51.79391328136845,795.3242857142852,738.2810714285705,
1641427200,2022-01-06 00:00:00,46622.53,46674.37,44500.0,44685.93,13258.75934,-294.153894335519,-172.28425909374056,-121.86963524177844,31.33850202009276,37.14876637771041,19.717973304857466,903.9457142857142,787.801379310344,
1641441600,2022-01-06 04:00:00,44685.93,44847.99,42500.0,43451.13,21625.61638,-492.7620407283539,-236.37981542066325,-256.38222530769065,27.16106084601075,33.819531200477186,13.84412013707788,1000.605714285714,839.8076666666658,
