Date/Time,Open,High,Low,Close,MACD,MACD_signal,MACD_hist,K,D,J,ATR (14),ATR (200),Supply Zone,Demand Zone,Entry Price,Stop Loss,Take Profit,Exit Price,Trade Status,Running PnL %
2022-01-01 08:00:00,46216.93,46949.99,46208.37,46813.2,0,0,0,81.55524393,81.55524393,81.55524393,741.62,741.62,,,,,,,,
2022-01-01 12:00:00,46813.21,47555.55,46591.23,47194.73,30.4354416,6.087088319,24.34835328,78.775711,80.62873295,75.06966709,852.97,852.97,,,,,,,,
2022-01-01 16:00:00,47194.73,47344.69,46715.39,46758.87,19.16457172,8.702584998,10.46198672,66.13818611,75.79855067,46.81745699,778.41,778.41,,,,,,,,
2022-01-01 20:00:00,46758.87,47491.14,46756.3,47219.04,46.82443638,16.32695527,30.4974811,69.09917584,73.56542573,60.16667607,767.52,767.52,,,,,,,,
2022-01-02 00:00:00,47219.04,47954.63,47186.07,47329.78,76.79561882,28.42068798,48.37493084,67.47205525,71.53430223,59.34756128,767.73,767.73,,,,,,,,
2022-01-02 04:00:00,47329.79,47814,47222.22,47722.65,130.7422077,48.88499193,81.85721577,73.88657329,72.31839258,77.02293469,738.40,738.40,,,,,,,,
2022-01-02 08:00:00,47722.66,47750,47269.47,47329.47,140.1533277,67.13865907,73.01466859,70.65773614,71.76484044,68.44352755,701.56,701.56,,,,,,,,
2022-01-02 12:00:00,47329.47,47415.73,46770.23,47173.45,133.4834835,80.40762395,53.07585951,65.52700373,69.68556154,57.20988813,694.56,694.56,,,,,,,,
2022-01-02 16:00:00,47173.44,47499.45,46970.05,47235.5,131.6865003,90.66339922,41.02310107,63.29095153,67.55402487,54.76480487,676.21,676.21,,,,,,,,
2022-01-02 20:00:00,47238.89,47447,47013.5,47340.47,137.1515818,99.96103574,37.1905461,60.51189835,65.20664936,51.12239633,651.93,651.93,,,,,,,,
2022-01-03 00:00:00,47340.47,47990,46654,46907.68,105.3458015,101.0379889,4.307812614,46.67060689,59.02796854,21.95588358,714.12,714.12,,,,,,,,
2022-01-03 04:00:00,46907.67,47469.34,46815.17,47286.18,109.4199531,102.7143817,6.705571347,46.88669202,54.98087636,30.69832332,709.13,709.13,,,,,,,,
2022-01-03 08:00:00,47286.18,47289.11,46722.39,46793.26,72.04374758,96.5802549,-24.53650732,34.73234558,48.2313661,7.734304524,698.17,698.17,,,,,,,,
2022-01-03 12:00:00,46793.27,47211.09,46750,47051.37,62.52935584,89.77007509,-27.24071925,33.06931821,43.17735014,12.85325435,681.24,681.24,,,,,,,,
2022-01-03 16:00:00,47051.36,47431.67,46778,47378,80.41842947,87.89974597,-7.481316494,40.11008439,42.15492822,36.02039674,674.96,679.40,,,,,,,,
2022-01-03 20:00:00,47378,47570,46575.25,46693.45,38.90965891,78.10172856,-39.19206965,29.5250006,37.94495235,12.6850971,677.13,699.11,,,,,,,,
2022-01-04 00:00:00,46693.44,46790,46263.29,46360.01,-20.65407482,58.35056788,-79.0046427,21.55046834,32.48012435,-0.3088436675,669.80,688.97,,,,,,,,
2022-01-04 04:00:00,46360.01,46576.94,45696,46446.1,-60.21786536,34.63688123,-94.85474659,25.26642673,30.07555847,15.64816324,680.24,699.63,,,,,,,,
2022-01-04 08:00:00,46446.1,46549.19,45934.5,46313.97,-101.0691786,7.495669273,-108.5648478,25.82379626,28.6583044,20.15477997,669.25,695.16,,,,,,,,
2022-01-04 12:00:00,46313.96,46600.21,45996.26,46550,-113.0948037,-16.62242532,-96.47237837,32.4061879,29.9075989,37.4033659,670.12,690.60,,,,,,,,
