Side,Entry Bar,Entry Date/Time,Exit Bar,Exit Date/Time,Entry Price,Exit Price,Blended PnL %,TP1 Hit?,TP1 PnL %,Exit Type,Hold Bars,Swing Bias,Risk %,TP1 Distance %,TP2 Distance %,OB Origin Bar,OB Quality Score,OB Level (Swing/Internal),OB Structure (BOS/CHoCH),OB: Displacement,OB: Large Bar,OB: Fair Value Gap,OB: Liquidity Sweep,OB: Volume Expansion
SHORT,611,2025-04-13 04:00:00,618,2025-04-14 08:00:00,85276.90,84566.03,0.8336%,No,0.0000%,TRAILING EXIT,7,BEARISH,3.2038%,2.3780%,6.1188%,549,4,internal,CHoCH,Yes,Yes,No,Yes,Yes
SHORT,627,2025-04-15 20:00:00,633,2025-04-16 20:00:00,84918.14,84846.58,0.0843%,No,0.0000%,TRAILING EXIT,6,BEARISH,3.5620%,2.1548%,5.7222%,549,4,internal,CHoCH,Yes,Yes,No,Yes,Yes
SHORT,645,2025-04-18 20:00:00,649,2025-04-19 12:00:00,84374.59,85217.39,-0.9989%,No,0.0000%,J EXHAUSTION EXIT,4,BEARISH,3.0317%,1.5508%,5.1148%,627,3,internal,CHoCH,No,Yes,No,Yes,Yes
SHORT,1053,2025-06-25 20:00:00,1068,2025-06-28 08:00:00,107028.00,107300.13,-0.2543%,No,0.0000%,J EXHAUSTION EXIT,15,BEARISH,2.4389%,1.9228%,6.2115%,1001,3,internal,CHoCH,No,Yes,No,Yes,Yes
SHORT,1249,2025-07-28 12:00:00,1255,2025-07-29 12:00:00,118900.00,118882.37,0.0148%,No,0.0000%,J EXHAUSTION EXIT,6,BEARISH,1.3971%,0.7906%,2.3174%,1217,2,internal,CHoCH,No,No,No,Yes,Yes
LONG,1368,2025-08-17 08:00:00,1373,2025-08-18 04:00:00,117684.95,117405.01,-0.2379%,No,0.0000%,J EXHAUSTION EXIT,5,BULLISH,1.8773%,1.0274%,4.7292%,1317,2,internal,BOS,No,Yes,No,No,Yes
