Date/Time,Open,High,Low,Close,MACD,MACD_signal,MACD_hist,K,D,J,ATR (14),ATR (200),Supply Zone,Demand Zone,Entry Price,Stop Loss,Take Profit,Exit Price,Trade Status,Running PnL %
2025-01-01 08:00:00,93576,94509.42,93489.03,93838.04,0,0,0,34.20358882,34.20358882,34.20358882,1020.39,1020.39,,,,,,,,
2025-01-01 12:00:00,93838.04,93937.19,93500,93684.1,-12.28011396,-2.456022792,-9.824091168,29.17479264,32.52732343,22.46973107,728.79,728.79,,,,,,,,
2025-01-01 16:00:00,93684.11,93756.02,92888,93444.64,-40.86356377,-10.13753099,-30.72603278,30.89332901,31.98265862,28.71466979,775.20,775.20,,,,,,,,
2025-01-01 20:00:00,93444.65,94500,93407.07,94432.94,16.04642357,-4.900740075,20.94716365,52.35660163,38.77397296,79.52185897,854.63,854.63,,,,,,,,
2025-01-02 00:00:00,94432.94,94823.75,93760.93,94627.07,75.93730911,11.26686976,64.67043935,64.85093344,47.46629312,99.62021408,896.27,896.27,,,,,,,,
2025-01-02 04:00:00,94627.08,95151.15,94542,94591.79,119.1806262,32.84962104,86.33100513,68.32862456,54.4204036,96.14506648,848.42,848.42,,,,,,,,
2025-01-02 08:00:00,94591.78,95516,94392,95010.33,185.0903404,63.29776491,121.7925755,72.4718735,60.43756023,96.54050004,887.79,887.79,,,,,,,,
2025-01-02 12:00:00,95010.34,96000,94984.84,95822,299.3683177,110.5118755,188.8564422,79.74131755,66.87214601,105.4796606,903.71,903.71,,,,,,,,
2025-01-02 16:00:00,95822.01,96876.38,95640.05,96732.99,458.1623077,180.0419619,278.1203458,85.29581369,73.01336857,109.8607039,940.67,940.67,,,,,,,,
2025-01-02 20:00:00,96733,97440.91,95924.6,96455.01,555.1772879,255.0690271,300.1082607,82.97911491,76.33528402,96.2667767,998.23,998.23,,,,,,,,
2025-01-03 00:00:00,96455.01,97777,96040.04,97317.74,693.6811351,342.7914487,350.8896864,85.52149626,79.39735476,97.76977925,1065.39,1065.39,,,,,,,,
2025-01-03 04:00:00,97317.74,97839.5,96666.66,96984.79,767.7302333,427.7792056,339.9510276,83.91996349,80.90489101,89.95010846,1074.34,1074.34,,,,,,,,
2025-01-03 08:00:00,96984.79,97342.44,96650,97062.3,823.1799799,506.8593605,316.3206194,82.92807618,81.57928606,85.62565641,1044.96,1044.96,,,,,,,,
2025-01-03 12:00:00,97062.3,97066.18,96280.65,96304,796.751377,564.8377638,231.9136132,73.77221032,78.97692748,63.362776,1026.43,1026.43,,,,,,,,
2025-01-03 16:00:00,96304,96830,96100.01,96757.58,803.1484389,612.4998988,190.6485401,72.05389318,76.66924938,62.82318077,1005.69,1006.67,,,,,,,,
2025-01-03 20:00:00,96757.57,97660,96472.43,97521.35,859.9352145,661.9869619,197.9482526,77.6542838,76.99759419,78.96766303,1059.29,1017.98,,,,,,,,
2025-01-04 00:00:00,97521.36,98976.91,97406.54,98592.01,980.0352215,725.5966138,254.4386076,81.25792381,78.41770406,86.9383633,1109.46,1050.47,,,,,,,,
2025-01-04 04:00:00,98592.02,98748,98067.99,98174.18,1029.631008,786.4034926,243.2275152,78.73891652,78.52477488,79.16719979,1079.96,1029.89,,,,,,,,
2025-01-04 08:00:00,98174.17,98314.15,97800,98200,1058.814134,840.8856209,217.928513,77.00805319,78.01920098,74.9857576,1040.77,1002.75,,,,,,,,
2025-01-04 12:00:00,98200.01,98350.04,97862.87,98271.88,1075.346166,887.7777298,187.5684357,76.50317314,77.51385837,74.48180269,1032.06,976.97,,,,,,,,
2025-01-04 16:00:00,98271.87,98306.22,97532.58,97889.39,1045.531932,919.3285703,126.2033618,71.73484858,75.58752177,64.02950219,1007.03,967.28,,,,,,,,
2025-01-04 20:00:00,97889.4,98152.02,97514.79,97657.94,991.7950605,933.8218683,57.97319215,65.87425953,72.34976769,52.92324321,980.04,952.28,,,,,,,,
2025-01-05 00:00:00,97657.95,98350,97549.99,98166.26,978.9407587,942.8456464,36.09511228,67.85687308,70.85213616,61.86634693,948.87,945.66,,,,,,,,
2025-01-05 04:00:00,98166.26,98778.43,98143.2,98220.5,962.040542,946.6846255,15.35591653,68.50382288,70.06936506,65.37273852,885.94,932.73,,,,,,,,
2025-01-05 08:00:00,98220.51,98391.59,98050,98187.96,935.2404231,944.395785,-9.155361905,62.25596445,67.46489819,51.83809696,786.27,909.08,,,,,,,,
2025-01-05 12:00:00,98187.97,98522.76,98187.96,98268.77,910.0315502,937.5229381,-27.49138786,61.39307974,65.44095871,53.29732179,726.41,886.99,,,,,,,,
2025-01-05 16:00:00,98268.77,98268.78,97600,97641.63,829.8820167,915.9947538,-86.11273707,44.27460948,58.38550896,16.0528105,724.72,878.91,,,,,,,,
2025-01-05 20:00:00,97641.62,98281.89,97276.79,98028.98,788.5291684,890.5016367,-101.9724683,46.21348418,54.32816737,29.9841178,740.40,883.42,,,,,,,,
2025-01-06 00:00:00,98028.98,98332.54,97577.46,98079.63,751.1845816,862.6382257,-111.4536441,48.63039361,52.42890945,41.03336192,742.19,878.99,,,,,,,,
2025-01-06 04:00:00,98079.64,98836.85,98024,98363.61,736.0191693,837.3144144,-101.2952451,55.64201883,53.49994591,59.92616468,715.43,876.79,,,,,,,,
2025-01-06 08:00:00,98363.61,99333,97920,99037.57,769.5129441,823.7541204,-54.24117625,65.63878059,57.54622413,81.82389349,704.19,894.09,,,,,,,,
2025-01-06 12:00:00,99037.57,99892,99037.57,99318.7,809.4114521,820.8855867,-11.47413463,69.78526782,61.62590536,86.10399273,716.65,892.85,,,,,,,,
2025-01-06 16:00:00,99318.7,99625.69,98709.28,99259.99,826.7634859,822.0611665,4.702319368,71.80127797,65.01769623,85.36844145,745.38,893.56,,,,,,,,
2025-01-06 20:00:00,99259.99,102468.92,98711.94,102147.95,1061.315154,869.911964,191.4031897,79.14023331,69.72520859,97.97028276,978.94,977.78,,,,,,,,
2025-01-07 00:00:00,102147.95,102480,101250,101817.22,1206.602926,937.2501563,269.3527694,81.8475202,73.76597913,98.01060235,1011.53,984.98,,,,,,,,
2025-01-07 04:00:00,101817.22,102329.98,101600.05,102235.6,1340.056959,1017.811517,322.245442,86.33264665,77.9548683,103.0882034,1018.16,977.90,,,,,,,,
2025-01-07 08:00:00,102235.6,102724.38,101512.91,101708.08,1387.26229,1091.701671,295.5606186,84.3065012,80.07207927,92.77534505,1047.55,984.21,,,,,,,,
2025-01-07 12:00:00,101708.09,102015.01,101582.79,101664.81,1404.985529,1154.358443,250.6270862,82.18625063,80.77680306,85.00514578,1033.05,969.69,,,,,,,,
2025-01-07 16:00:00,101664.81,101995.64,100472.45,100830.86,1336.334101,1190.753575,145.5805263,74.98671057,78.84677223,67.26658726,1117.45,983.88,,,,,,,,
2025-01-07 20:00:00,100830.86,100960.06,97153.5,97952.26,1037.686582,1160.140176,-122.4535943,54.77051695,70.8213538,22.66884324,1365.43,1054.45,,,,,,,,
2025-01-08 00:00:00,97952.26,98347.81,96323.67,96451.98,672.1975388,1062.551649,-390.3541098,37.18188509,59.60819756,-7.670739866,1462.24,1078.10,,,,,,,,
2025-01-08 04:00:00,96451.99,97220.76,96181.81,96954.61,418.2811941,933.6975577,-515.4163635,28.72521409,49.31386974,-12.45209721,1464.66,1077.16,,,,,,,,
2025-01-08 08:00:00,96954.6,97268.65,96216.83,96525.2,180.322221,783.0224903,-602.7002693,20.8996591,39.84246619,-16.98595509,1485.85,1076.58,,,,,,,,
2025-01-08 12:00:00,96525.2,96654.61,95250.76,95657.09,-77.41876608,610.9342391,-688.3530051,15.74539159,31.81010799,-16.38404122,1528.07,1084.01,,,,,,,,
2025-01-08 16:00:00,95657.09,96132.47,94543.86,95134.92,-320.1249097,424.7224093,-744.847319,12.90533208,25.50851602,-12.3010358,1540.61,1095.23,,,,,,,,
